movie_title;gross;duration;budget;num_critic_for_reviews;director_facebook_likes;cast_total_facebook_likes
After the Sunset ;28328132;97;58000000;117;420;9814
Ghost Rider: Spirit of Vengeance ;51774002;96;57000000;287;83;16121
Walking Tall ;45860039;86;56000000;117;10;14146
Alvin and the Chipmunks ;217326336;92;60000000;131;25;2847
Meet the Parents ;166225040;108;55000000;150;116;24286
Pocahontas ;141600000;84;55000000;92;12;26754
The Nutty Professor ;128769345;95;54000000;57;293;3155
Hitch ;177575142;118;70000000;171;72;13426
George of the Jungle ;105263257;92;55000000;53;39;4518
American Wedding ;104354205;74;55000000;153;58;5713
Captain Phillips ;107100855;134;55000000;491;521;16281
Date Night ;98711404;101;55000000;247;189;39822
Casper ;100328194;100;50000000;26;52;2638
The Equalizer ;101530738;132;55000000;292;845;37605
Maid in Manhattan ;93815117;105;55000000;114;61;7184
The Pursuit of Happyness ;162586036;117;55000000;201;125;11036
Flightplan ;89706988;98;55000000;231;124;2287
Disclosure ;83000000;128;55000000;55;272;3888
Bowfinger ;66365290;85;55000000;140;0;22458
Tango & Cash ;63408614;97;55000000;45;96;14432
Death Becomes Her ;58422650;104;55000000;49;0;25599
Shanghai Noon ;56932305;110;55000000;146;9;939
Executive Decision ;68750000;133;55000000;60;53;2916
Mr. Popper's Penguins ;68218041;94;55000000;189;70;2820
The Forbidden Kingdom ;25040293;104;55000000;206;50;7247
Free Birds ;55747724;91;55000000;118;39;3104
Evita ;49994804;135;55000000;76;317;164
The Ghost and the Darkness ;38553833;110;55000000;62;81;1752
The Watch ;34350553;102;68000000;265;82;2488
The Hunted ;34238611;94;55000000;135;607;2248
Instinct ;34098563;126;55000000;100;226;13406
Stuck on You ;33828318;118;55000000;123;101;14036
Semi-Pro ;33472850;99;55000000;164;3;10026
Chain Reaction ;20550712;107;50000000;47;99;31014
Æon Flux ;25857987;93;62000000;178;45;10185
Turbulence ;11466088;100;71000000;44;0;3952
Imagine That ;16088610;107;55000000;93;11;3742
Muppets Most Wanted ;51178893;119;50000000;277;33;6089
Burlesque ;39440655;119;55000000;197;59;4315
Blade II ;81645152;117;54000000;224;0;15371
Seven Pounds ;69951824;123;55000000;202;125;14727
Bullet to the Head ;9483821;92;55000000;279;394;25418
The Godfather: Part III ;66676062;170;54000000;110;0;16949
Elizabethtown ;26838389;123;57000000;190;488;12700
You, Me and Dupree ;75604320;110;54000000;136;94;847
Superman II ;108200000;116;54000000;121;44;2908
Gigli ;5660084;121;54000000;131;102;286
Anastasia ;58297830;94;50000000;78;383;6017
Moulin Rouge! ;57386369;127;52500000;209;1000;2601
Domestic Disturbance ;45207112;89;53000000;98;17;13390
Black Mass ;62563543;123;53000000;391;108;63769
Law Abiding Citizen ;73343413;118;50000000;216;473;22517
Beloved ;22843047;172;55000000;78;438;2397
Lucky You ;5755286;124;55000000;106;161;26334
The Break-Up ;118683135;106;52000000;183;235;8315
Mamma Mia! ;143704210;108;52000000;238;58;26002
Valentine's Day ;110476776;125;52000000;186;0;45696
The Dukes of Hazzard ;80270227;107;50000000;144;422;2297
The Change-Up ;37035845;118;52000000;215;71;28045
Bulletproof Monk ;23020488;104;52000000;127;13;2422
Me, Myself & Irene ;90567722;116;51000000;155;101;1711
Shrek ;267652016;90;60000000;212;80;275
The Adjustment Bureau ;62453315;106;50200000;413;53;14607
Robin Hood: Prince of Thieves ;165500000;155;48000000;67;58;38518
Jerry Maguire ;153620822;139;50000000;109;488;12182
Ted ;218628680;112;50000000;457;3000;21773
As Good as It Gets ;147637474;139;50000000;156;274;1474
Anchorman 2: The Legend Continues ;2175312;143;50000000;272;285;28176
Mr. Deeds ;126203320;96;50000000;117;65;26826
Erin Brockovich ;125548685;131;52000000;169;0;10003
How to Lose a Guy in 10 Days ;105807520;116;50000000;140;80;14087
22 Jump Street ;191616238;112;50000000;330;97;19428
Interview with the Vampire: The Vampire Chronicles ;105264608;123;60000000;120;277;25697
Yes Man ;97680195;104;70000000;190;235;29505
Central Intelligence ;126088877;107;50000000;177;43;14569
Stepmom ;91030827;124;50000000;65;0;9988
Daddy's Home ;150315155;96;50000000;145;51;10886
Into the Woods ;127997349;125;50000000;321;252;62837
Inside Man ;88504640;129;45000000;230;0;19148
Payback ;81517441;90;50000000;143;241;3148
Congo ;81022333;109;50000000;55;155;1761
Knowing ;79948113;121;50000000;279;295;13421
Failure to Launch ;88658172;95;50000000;143;9;37967
Crazy, Stupid, Love. ;84244877;118;50000000;310;43;57426
Garfield ;75367693;80;35000000;116;12;13430
Christmas with the Kranks ;73701902;99;60000000;105;148;6729
Moneyball ;75605492;133;50000000;419;152;53094
Outbreak ;67823573;127;50000000;64;249;30383
Race to Witch Mountain ;67128202;98;65000000;166;99;14007
V for Vendetta ;70496802;132;54000000;525;160;22417
Shanghai Knights ;60470220;114;50000000;165;71;428
Curious George ;58336565;78;50000000;87;5;11124
Herbie Fully Loaded ;66002004;101;50000000;117;23;2177
Don't Say a Word ;54997476;113;50000000;113;39;3341
Unfaithful ;52752475;124;50000000;152;213;2583
I Am Number Four ;55092830;109;60000000;288;154;15608
Syriana ;50815288;128;50000000;358;79;14747
13 Hours ;52822418;144;50000000;204;0;3580
The Book of Life ;50150619;95;50000000;156;34;19513
G.I. Jane ;48154732;125;50000000;97;0;15569
The Replacements ;44737059;118;50000000;118;41;24024
American Reunion ;56724080;113;50000000;291;22;8398
Into the Storm ;47553512;89;50000000;228;77;1367
Beverly Hills Cop III ;42610000;104;55000000;36;644;1093
Gremlins 2: The New Batch ;41482207;106;50000000;105;287;19610
The Judge ;47105085;141;50000000;276;71;30183
The Peacemaker ;41256277;124;50000000;93;75;1289
Out of Time ;40905277;114;50000000;124;73;19739
On Deadly Ground ;38590500;101;50000000;47;0;1860
The Adventures of Sharkboy and Lavagirl 3-D ;39177541;93;50000000;66;0;14899
The Beach ;39778599;119;50000000;118;0;29461
Raising Helen ;37486138;119;50000000;93;0;2052
Ninja Assassin ;38105077;99;40000000;235;160;701
For Love of the Game ;35168395;137;50000000;113;0;25469
Striptease ;32800000;117;40000000;51;31;3016
Marmaduke ;33643461;87;50000000;98;9;20061
Murder by Numbers ;31874869;115;50000000;136;58;34606
The Story of Us ;27067160;95;50000000;99;0;14706
The Host ;26616999;125;40000000;298;487;1300
The International ;25450527;118;50000000;245;670;7654
Escape from L.A. ;25407250;101;50000000;104;0;15935
The Iron Giant ;23159305;90;70000000;162;663;16358
The Life Aquatic with Steve Zissou ;24006726;119;50000000;259;0;15757
Free State of Jones ;20389967;139;50000000;79;378;12786
The Life of David Gale ;19593740;130;50000000;141;317;32637
Man of the House ;19118247;100;40000000;59;65;6171
Run All Night ;26442251;114;50000000;236;174;16992
Eastern Promises ;17114882;96;25000000;356;0;17211
Into the Blue ;18472363;110;50000000;120;134;25049
Your Highness ;21557240;102;49900000;208;234;45202
Dream House ;21283440;84;55000000;174;260;8018
Mad City ;10556196;115;50000000;59;333;2606
Baby's Day Out ;16671505;99;50000000;22;32;2949
The Scarlet Letter ;10400000;135;50000000;34;596;15820
Fair Game ;9528092;108;22000000;214;218;10191
Jade ;9795017;107;50000000;50;607;5461
Gamer ;20488579;95;50000000;180;83;29926
Beautiful Creatures ;19445217;124;60000000;231;98;3580
Zoolander 2 ;28837115;102;50000000;226;0;24107
The Big Bounce ;6471394;88;50000000;75;5;11972
What Planet Are You From? ;6291602;87;50000000;82;0;3954
Drive Angry ;10706786;104;50000000;296;71;16481
The One ;43905746;85;49000000;98;70;32831
The Adventures of Ford Fairlane ;21413502;104;40000000;48;212;2795
Chappie ;31569268;120;49000000;371;662;23051
The Bone Collector ;66488090;118;48000000;75;176;29748
Three Kings ;60652036;114;48000000;150;737;3743
K-PAX ;50173190;120;48000000;140;34;33615
Kate & Leopold ;47095453;123;48000000;125;446;22209
The Cotton Club ;25900000;123;58000000;36;0;18793
3:10 to Yuma ;53574088;122;55000000;295;446;33548
Out of Sight ;37339525;123;48000000;158;0;3768
The Cable Guy ;60154431;96;47000000;72;0;3718
Dick Tracy ;103738726;105;100000000;72;631;2096
The Thomas Crown Affair ;69304264;113;48000000;152;323;4660
Riding in Cars with Boys ;29781453;132;48000000;89;545;4796
Happily N'Ever After ;15519841;75;47000000;93;0;6863
Mary Reilly ;5600000;108;47000000;46;350;8349
My Best Friend's Wedding ;126805112;105;46000000;84;29;12344
America's Sweethearts ;93607673;102;48000000;142;148;9176
Star Trek: First Contact ;92001027;111;45000000;143;906;6315
Jonah Hex ;10539414;81;47000000;178;39;14619
Courage Under Fire ;58918501;116;46000000;65;380;33233
Liar Liar ;181395380;86;45000000;73;293;2070
The Flintstones ;130512915;91;45000000;35;32;3244
Scary Movie 3 ;110000082;84;48000000;151;119;3629
Miss Congeniality ;106807667;109;45000000;140;80;1574
Journey to the Center of the Earth ;101702060;93;45000000;201;40;17925
The Princess Diaries 2: Royal Engagement ;95149435;113;40000000;77;0;15362
The Pelican Brief ;100768056;141;45000000;43;79;30063
The Client ;92115211;119;45000000;39;541;4043
The Bucket List ;93452056;97;45000000;207;0;14868
Patriot Games ;83287363;117;45000000;47;176;12757
Prisoners ;60962878;153;46000000;454;777;37321
Training Day ;76261036;122;45000000;109;845;22370
Galaxy Quest ;71423726;102;45000000;213;23;26998
Scary Movie 2 ;71277420;83;45000000;127;322;1645
The Muppets ;88625922;103;45000000;398;33;1336
Blade ;70001065;110;45000000;184;45;3174
Coach Carter ;67253092;136;30000000;127;49;20299
Changing Lanes ;66790248;91;45000000;167;50;758
Anaconda ;65557989;89;45000000;119;49;3717
Coyote Ugly ;60786269;107;45000000;155;18;3106
A Bug's Life ;162792677;95;120000000;117;487;24205
From Hell ;31598308;122;35000000;208;117;41636
Tin Cup ;53854588;135;45000000;48;41;3648
Kicking & Screaming ;52580895;95;45000000;94;58;27351
The Hitchhiker's Guide to the Galaxy ;51019112;109;50000000;276;37;14073
Fat Albert ;48114556;93;26000000;59;38;4604
Blended ;46280507;117;40000000;173;153;49743
Last Holiday ;38360195;112;45000000;99;61;3757
The River Wild ;46815748;111;45000000;42;161;12161
The Indian in the Cupboard ;35617599;96;45000000;25;0;2965
Savages ;47307550;141;45000000;339;0;1948
Cellular ;32003620;94;25000000;127;160;1102
The Ant Bully ;28133159;88;50000000;105;8;33822
Across the Universe ;24343673;133;45000000;156;278;5405
Revolutionary Road ;22877808;119;35000000;323;0;53895
The Glimmer Man ;20400913;91;45000000;39;29;3855
Aliens in the Attic ;25200412;86;45000000;82;13;3423
The Pledge ;19719930;124;45000000;150;0;793
The Producers ;19377727;134;45000000;168;38;24351
Deep Rising ;11146409;106;45000000;106;208;6558
Miracle at St. Anna ;7916887;160;45000000;158;0;26982
Bangkok Dangerous ;15279680;99;40000000;125;15;12166
Big Trouble ;7262288;74;40000000;87;188;13917
Love in the Time of Cholera ;4584886;139;45000000;115;179;538
Shadow Conspiracy ;2154540;103;45000000;24;170;2457
Johnny English Reborn ;8129455;101;45000000;152;32;661
The Fugitive ;183875760;130;44000000;119;99;13357
The Bounty Hunter ;67061228;110;40000000;161;72;21554
Sleepers ;53300852;147;44000000;73;272;37076
Rambo: First Blood Part II ;150415432;96;44000000;96;170;15662
The Juror ;44834712;118;44000000;28;13;26907
Pinocchio ;84300000;88;2600000;105;3;1178
Underworld: Evolution ;62318875;102;50000000;206;235;2998
Victor Frankenstein ;5773519;110;40000000;159;118;12876
Finding Forrester ;51768623;136;43000000;137;835;1801
28 Days ;37035515;103;43000000;116;84;23864
The Sweetest Thing ;24430272;90;43000000;99;16;132
The Firm ;158348400;154;42000000;56;521;14244
Charlie St. Cloud ;31136950;99;44000000;117;23;1066
The Mechanic ;29113588;93;40000000;252;165;27834
21 Jump Street ;138447667;109;42000000;375;97;19968
Along Came Polly ;87856565;90;42000000;108;29;24534
Boomerang ;70100000;117;40000000;21;71;3841
The Heat ;159578352;123;43000000;270;176;4825
Here Comes the Boom ;45290318;105;42000000;154;153;6727
High Crimes ;41543207;115;42000000;114;73;15571
The Mirror Has Two Faces ;41252428;122;42000000;27;0;13716
The Mothman Prophecies ;35228696;119;32000000;166;89;1651
Brüno ;59992760;81;42000000;288;119;2134
Red Riding Hood ;37652565;100;42000000;291;308;15369
15 Minutes ;24375436;120;42000000;151;17;33585
Lord of War ;24127895;122;50000000;168;487;12076
One for the Money ;26404753;91;40000000;127;30;3301
The Interview ;6105175;112;44000000;293;133;12239
8 Mile ;116724075;110;41000000;119;161;1954
A Knight's Tale ;56083966;144;65000000;167;241;18761
Man on a Ledge ;18600911;102;42000000;258;20;362
The Big Year ;7204138;100;41000000;108;64;2085
The Karate Kid ;90800000;126;8000000;81;80;2004
The Proposal ;163947053;108;40000000;224;98;18656
Double Jeopardy ;116735231;105;70000000;129;78;2129
Back to the Future Part II ;118500000;108;40000000;125;0;3660
Fifty Shades of Grey ;166147885;129;40000000;362;456;4585
Spy Kids 3-D: Game Over ;111760631;84;38000000;93;0;22935
A Time to Kill ;108706165;149;40000000;71;541;31349
Cheaper by the Dozen ;138614544;94;40000000;104;189;7014
Lone Survivor ;125069696;121;40000000;319;532;1261
A League of Their Own ;107458785;128;40000000;41;545;16751
The Conjuring 2 ;102310175;134;40000000;300;0;2676
He's Just Not That Into You ;93952276;129;40000000;161;42;318
Scary Movie 4 ;90703745;89;45000000;151;119;5855
Scream 3 ;89138076;116;40000000;212;0;600
Back to the Future Part III ;87666629;118;40000000;111;0;3986
Get Hard ;90353764;107;40000000;173;164;12556
Bram Stoker's Dracula ;82522790;155;40000000;181;0;42220
Julie & Julia ;94125426;123;40000000;252;0;13321
42 ;95001343;128;40000000;216;241;16911
The Talented Mr. Ripley ;81292135;139;40000000;203;333;36810
Dumb and Dumber To ;86208010;109;35000000;218;101;16179
Eight Below ;81593527;120;40000000;118;155;24300
The Intern ;75274748;121;35000000;241;278;36010
Ride Along 2 ;90835030;102;40000000;119;167;5178
The Last of the Mohicans ;72455275;117;40000000;89;0;2144
Sin City ;74098862;147;40000000;374;436;3924
Vantage Point ;72266306;90;40000000;235;38;6775
I Love You, Man ;71347010;105;40000000;215;29;28928
Shallow Hal ;70836296;114;40000000;109;101;2842
Big Momma's House 2 ;70163652;99;40000000;65;14;19334
The Mexican ;66808615;123;34000000;125;563;43917
17 Again ;64149837;102;20000000;191;23;7009
The Other Woman ;83906114;109;40000000;191;415;2357
Behind Enemy Lines ;59068786;106;40000000;131;212;2544
Shall We Dance ;57887882;106;50000000;118;23;2325
Small Soldiers ;53955614;108;40000000;100;287;8610
Spawn ;54967359;98;40000000;70;20;7039
The Lincoln Lawyer ;57981889;118;40000000;274;65;13943
Horrible Bosses 2 ;54414716;116;42000000;196;51;30571
Escape from Planet Earth ;57011847;89;40000000;83;7;3361
Apocalypto ;50859889;139;40000000;283;0;848
Predators ;52000688;107;40000000;351;190;4243
Legal Eagles ;49851591;116;40000000;16;425;2179
Secret Window ;47781388;96;40000000;195;192;41293
The Lake House ;52320979;99;40000000;175;18;18693
The Skeleton Key ;47806295;104;43000000;193;34;1274
The Odd Life of Timothy Green ;51853450;105;25000000;169;54;9069
Made of Honor ;46012734;101;40000000;128;10;4298
The Rainmaker ;45856732;135;40000000;91;0;16762
Gothika ;59588068;98;40000000;207;326;22318
Medicine Man ;45500797;106;40000000;25;323;519
Aliens vs. Predator: Requiem ;41797066;102;40000000;211;25;4324
Ri¢hie Ri¢h ;38087756;95;40000000;19;80;4634
Autumn in New York ;37752931;103;40000000;101;643;26938
Paul ;37371385;109;40000000;342;99;390
The Guilt Trip ;37101011;95;40000000;147;98;1070
Scream 4 ;38176892;111;40000000;420;0;4486
The Doors ;35183792;140;38000000;82;0;3044
Sex Tape ;38543473;94;40000000;201;52;1488
Final Destination 5 ;42575718;92;40000000;277;77;3074
Pay It Forward ;33508922;123;40000000;157;75;23920
Fever Pitch ;42071069;104;30000000;124;101;1827
Drillbit Taylor ;32853640;102;40000000;146;65;3239
A Million Ways to Die in the West ;42615685;136;40000000;303;3000;28927
The Shadow ;32055248;93;25000000;70;85;2711
Extremely Loud & Incredibly Close ;31836745;129;40000000;283;335;15595
Morning Glory ;30993544;107;40000000;212;50;621
Get Rich or Die Tryin' ;30981850;117;40000000;98;260;3969
The Art of War ;30199105;116;40000000;110;18;3753
Rent ;29077547;135;40000000;146;0;5917
Bless the Child ;29374178;107;40000000;100;55;4565
The Out-of-Towners ;28535768;90;40000000;62;39;1335
The Island of Dr. Moreau ;27663982;99;40000000;70;287;10469
Sweet November ;25178165;119;40000000;94;7;29484
The Reaping ;25117498;99;40000000;190;81;960
Renaissance Man ;24332324;128;40000000;12;545;3126
The Magic Sword: Quest for Camelot ;22717758;86;40000000;34;7;14275
City by the Sea ;22433915;108;60000000;104;105;34377
At First Sight ;22326247;128;60000000;55;34;3821
Torque ;21176322;84;40000000;86;33;5039
City Hall ;20300000;111;40000000;50;17;17877
Marie Antoinette ;15962471;123;40000000;260;0;7243
Kiss of Death ;14942422;101;40000000;40;58;14008
Get Carter ;14967182;102;40000000;102;19;14463
Ishtar ;14375181;107;51000000;49;124;3374
Fantastic Mr. Fox ;20999103;87;40000000;335;0;24770
Life or Something Like It ;14448589;103;40000000;86;65;12566
Memoirs of an Invisible Man ;14358033;99;40000000;40;0;2125
New York Minute ;14018364;91;30000000;70;29;3974
Big Miracle ;20113965;107;40000000;125;42;1702
The Deep End of the Ocean ;13376506;106;40000000;54;22;4327
Cirque du Freak: The Vampire's Assistant ;13838130;109;40000000;157;80;20503
Duplex ;9652000;89;40000000;78;0;3096
Universal Soldier: The Return ;10431220;83;24000000;75;7;4024
Impostor ;6114237;102;40000000;83;39;2664
A Thousand Words ;18438149;91;40000000;70;48;222
Delgo ;511920;94;40000000;41;0;2449
The Gunman ;10640645;115;40000000;224;180;1686
Disturbia ;80050171;105;20000000;253;154;2288
Hackers ;7564000;107;20000000;79;34;13821
The Hunting Party ;876671;101;25000000;94;47;504
The Crow ;50693162;98;23000000;118;295;2630
The Time Traveler's Wife ;63411478;107;39000000;214;124;568
Serenity ;25335935;119;40000000;276;0;2853
Against the Ropes ;5881504;110;39000000;76;534;2972
Grudge Match ;29802761;113;40000000;211;88;36009
Sweet Home Alabama ;127214072;108;38000000;97;72;4251
The Ugly Truth ;88915214;96;38000000;174;126;22436
Sgt. Bilko ;30400000;93;39000000;23;36;2176
Spy Kids 2: Island of Lost Dreams ;85570368;100;38000000;103;0;18291
Star Trek: Generations ;75668868;118;35000000;98;18;6427
Water for Elephants ;58700247;120;38000000;279;508;36062
The Hurricane ;50668906;146;38000000;65;278;20516
Enough ;39177215;115;38000000;98;150;3770
Heartbreakers ;40334024;123;35000000;116;7;2912
Paul Blart: Mall Cop 2 ;71038190;94;30000000;76;99;3552
Angel Eyes ;24044532;102;38000000;106;43;1440
Joe Somebody ;22770864;98;38000000;55;11;2765
Extreme Measures ;17305211;118;38000000;47;150;24547
Rock Star ;16991902;105;57000000;107;65;1265
Precious ;47536959;109;10000000;323;304;3277
White Squall ;10300000;129;38000000;37;0;16237
The Thing ;13782838;109;15000000;297;0;1757
Riddick ;41997790;127;38000000;302;123;17551
Switchback ;6482195;118;37000000;38;11;74
Texas Rangers ;623374;110;38000000;31;49;2120
City of Ember ;7871693;90;55000000;118;27;15494
The Express ;9589875;130;40000000;86;39;5162
The 5th Wave ;34912982;112;38000000;194;5;19974
Creed ;109712885;133;35000000;437;0;15106
The Town ;92173235;150;37000000;378;0;14296
What to Expect When You're Expecting ;41102171;110;40000000;170;52;13396
Burn After Reading ;60338891;96;37000000;341;1000;36093
Nim's Island ;48006503;96;37000000;139;3;18178
Cop Out ;44867349;107;37000000;203;0;14483
How to Be Single ;46813366;110;38000000;148;11;4882
Dolphin Tale ;72279690;113;37000000;131;188;14209
Twilight ;191449475;122;37000000;350;308;44060
John Q ;71026631;116;36000000;129;415;20970
Blue Streak ;68208190;93;65000000;40;10;2986
We're the Millers ;150368971;118;37000000;289;43;3425
Breakdown ;50129186;93;36000000;72;84;1874
Hot Tub Time Machine ;50213619;101;36000000;265;38;1272
Dolphin Tale 2 ;42019483;107;36000000;54;188;13904
Reindeer Games ;23360779;124;34000000;126;287;10838
A Man Apart ;26183197;109;36000000;110;473;16611
Aloha ;20991497;105;37000000;138;488;44037
Ghosts of Mississippi ;13052741;130;36000000;31;0;3968
Snow Falling on Cedars ;14378353;127;36000000;95;96;2393
The Rite ;33037754;114;37000000;267;101;19904
Gattaca ;12339633;106;36000000;175;487;1942
Isn't She Great ;2954405;95;36000000;63;31;2928
Space Chimps ;30105968;81;37000000;85;16;2268
Head of State ;37788228;95;35200000;44;0;4537
Austin Powers: The Spy Who Shagged Me ;205399422;95;33000000;199;116;47203
Lethal Weapon 3 ;144731527;121;35000000;68;503;1446
The Blind Side ;255950375;129;29000000;261;102;3389
Spy Kids ;112692062;88;35000000;122;0;4499
Horrible Bosses ;117528646;106;35000000;340;91;18669
True Grit ;171031347;110;38000000;493;1000;25964
The Devil Wears Prada ;124732962;109;35000000;208;64;23923
Star Trek: The Motion Picture ;82300000;143;35000000;134;338;16007
Identity Thief ;134455175;120;35000000;275;91;5826
21 ;81159365;123;35000000;144;126;25661
Guess Who ;67962333;105;35000000;104;8;2689
The English Patient ;78651430;162;27000000;116;333;15912
L.A. Confidential ;64604977;138;35000000;177;161;19129
Sky High ;63939454;100;35000000;127;31;2968
In & Out ;63826569;90;35000000;83;0;23504
Species ;60054449;108;35000000;97;79;1715
A Nightmare on Elm Street ;26505000;101;1800000;256;0;42918
The Cell ;61280963;109;33000000;225;763;2474
The Man in the Iron Mask ;56876365;132;35000000;83;130;29265
Secretariat ;59699513;123;35000000;160;130;2259
Radio ;52277485;109;35000000;74;19;4231
Friends with Benefits ;55802754;109;35000000;238;87;20956
Neighbors 2: Sorority Rising ;55291815;92;35000000;177;89;17860
Saving Mr. Banks ;83299761;125;35000000;405;102;19809
This Is 40 ;67523385;134;35000000;285;0;1050
Old Dogs ;49474048;88;35000000;124;12;53370
Underworld: Rise of the Lycans ;45802315;92;35000000;164;148;2184
License to Wed ;43792641;91;35000000;120;42;52566
The Benchwarmers ;57651794;75;33000000;90;221;13125
Must Love Dogs ;43894863;98;30000000;120;30;4879
Donnie Brasco ;41954997;147;35000000;117;179;56014
Poltergeist ;76600000;120;10700000;223;365;3876
The Ladykillers ;39692139;104;35000000;193;1000;41701
In Time ;37553932;109;40000000;360;487;34011
The Back-up Plan ;37481242;104;35000000;148;16;3356
Something Borrowed ;39026186;112;35000000;128;42;2371
Black Knight ;33422806;95;50000000;46;19;2643
The Nativity Story ;37617947;101;30000000;122;308;966
Closer ;33987757;98;27000000;212;0;28027
Mirrors ;30691439;112;35000000;208;192;3185
Queen of the Damned ;30307804;101;35000000;137;48;3001
Predator 2 ;30669413;103;35000000;119;81;4722
Untraceable ;28687835;101;35000000;195;40;3612
Blast from the Past ;26494611;112;35000000;95;37;5709
Jersey Girl ;25266129;102;35000000;164;0;3592
Alex Cross ;25863915;101;35000000;211;357;2471
Hoffa ;24276500;140;35000000;32;0;1394
The X Files: I Want to Believe ;20981633;108;30000000;270;251;2351
Ella Enchanted ;22913677;96;35000000;89;13;17292
Abduction ;28064226;106;35000000;180;309;561
Wonder Boys ;19389454;107;55000000;173;161;22974
Superhero Movie ;25871834;82;35000000;121;82;3266
Broken City ;19692608;109;35000000;298;90;2073
Cursed ;19294901;99;35000000;158;0;2535
Premium Rush ;20275446;91;35000000;248;192;24669
Hot Pursuit ;34507079;87;35000000;155;98;1679
Parker ;17609982;118;35000000;224;138;28479
Furry Vengeance ;17596256;92;35000000;101;16;6327
Lions for Lambs ;14998070;92;35000000;227;0;32875
Flight of the Intruder ;14587732;115;35000000;13;468;1290
Walk Hard: The Dewey Cox Story ;18317151;120;35000000;171;52;1082
The Shipping News ;11405825;111;35000000;119;529;19805
American Outlaws ;13264986;94;35000000;44;10;1668
Whiteout ;10268846;101;35000000;166;57;1947
Sabotage ;10499968;109;35000000;233;453;1458
The Order ;7659747;102;38000000;112;241;14165
Punisher: War Zone ;7948159;103;35000000;151;189;6563
Zoom ;11631245;83;35000000;63;12;5022
The Walk ;10137502;123;35000000;335;0;23031
Warriors of Virtue ;6448817;101;35000000;24;31;1993
A Good Year ;7458269;117;35000000;147;0;3611
Radio Flyer ;4651977;114;35000000;10;503;4334
Ride with the Devil ;630779;148;35000000;95;0;5
The Maze Runner ;102413606;113;34000000;297;47;1783
Unfinished Business ;10214013;91;35000000;90;31;1564
The Fountain ;10139254;96;35000000;274;0;24640
Chill Factor ;11227940;102;34000000;68;3;1274
Stolen ;183125;96;35000000;98;165;14978
The Longest Ride ;37432299;128;34000000;117;88;3386
The Astronaut's Wife ;10654581;109;34000000;107;7;52621
I Dreamed of Africa ;6543194;114;34000000;52;46;1778
Playing for Keeps ;13101142;105;35000000;135;125;23122
A Few Good Men ;141340178;138;40000000;81;0;14619
Exit Wounds ;51758599;101;33000000;107;43;5942
Big Momma's House ;117559438;99;30000000;100;67;1790
The Darkest Hour ;21426805;89;30000000;195;21;843
Step Up Revolution ;35057332;99;33000000;121;35;4863
The Watcher ;28927720;97;33000000;103;10;18688
The Punisher ;33682273;140;33000000;192;36;2114
Goal! The Dream Begins ;4280577;118;10000000;90;41;2859
Safe ;17120019;94;30000000;258;132;27759
Pushing Tin ;8406264;124;38000000;56;179;13093
The Reader ;34180954;124;32000000;299;335;14504
Elf ;173381405;97;33000000;152;4000;43354
Phenomenon ;104632573;123;32000000;53;226;5975
Scrooged ;60328558;101;32000000;88;503;18734
Bridesmaids ;169076745;131;32500000;371;176;3229
This Is the End ;101470202;107;32000000;418;133;38751
Stigmata ;50041732;103;29000000;131;9;3004
Men of Honor ;48814909;129;32000000;98;88;36069
Takers ;57744720;107;20000000;119;34;31529
Big Mommas: Like Father, Like Son ;37911876;113;32000000;88;14;3500
Source Code ;54696902;93;32000000;522;0;16034
Alive ;36733909;120;32000000;43;155;2054
The Number 23 ;35063732;98;32000000;224;541;10938
Dreamer: Inspired by a True Story ;32701088;98;32000000;75;61;1400
A History of Violence ;31493782;96;32000000;441;0;12754
Repo Men ;13763130;119;32000000;197;238;2925
Bogus ;4357000;110;30000000;15;278;3864
The Incredible Burt Wonderstone ;22525921;100;30000000;260;35;32094
Cats Don't Dance ;3562749;75;32000000;18;10;7394
Cradle Will Rock ;2899970;132;32000000;70;0;16878
The Good German ;1304837;105;32000000;183;0;2355
Going the Distance ;17797316;102;32000000;167;8;2961
Mr. Holland's Opus ;82528097;143;6500000;42;65;2223
Out of Africa ;87100000;161;31000000;66;521;12518
Flight ;93749203;138;31000000;449;0;20952
Hearts in Atlantis ;24185781;101;31000000;135;96;13811
Arachnophobia ;53133888;103;31000000;74;155;1440
Frequency ;44983704;118;31000000;168;40;4045
Vacation ;58879132;99;31000000;204;0;40312
Get Shorty ;72077000;105;30250000;96;188;3439
Chicago ;170684505;113;45000000;223;252;813
Big Daddy ;163479795;93;34200000;112;221;26760
American Pie 2 ;145096820;108;30000000;142;6;7872
Toy Story ;191796233;74;30000000;166;487;19046
Speed ;121248145;116;25000000;114;101;20966
The Vow ;125014030;104;30000000;214;23;18322
Extraordinary Measures ;11854694;106;31000000;126;12;17560
Remember the Titans ;115648585;120;30000000;157;132;54877
The Hunt for Red October ;122012643;135;30000000;104;323;2575
Lee Daniels' The Butler ;116631310;132;30000000;304;304;20035
Dodgeball: A True Underdog Story ;114324072;92;20000000;191;43;4730
The Addams Family ;113502246;99;38000000;55;188;3696
Ace Ventura: When Nature Calls ;108360000;90;30000000;59;176;2203
The Princess Diaries ;108244774;111;37000000;108;0;13645
The First Wives Club ;105444419;103;26000000;50;37;3143
The SpongeBob SquarePants Movie ;85416609;87;30000000;89;47;20097
The Notebook ;64286;123;29000000;177;415;34495
